date,division,orders_received_net_musd
2021-01-01,ELSP,722.2
2021-01-01,ELSB,599.9
2021-02-01,ELSP,735.5
2021-02-01,ELSB,603.4
2021-03-01,ELSP,751.7
2021-03-01,ELSB,613.6
2021-04-01,ELSP,750.0
2021-04-01,ELSB,617.2
2021-05-01,ELSP,764.1
2021-05-01,ELSB,627.3
2021-06-01,ELSP,752.1
2021-06-01,ELSB,619.5
2021-07-01,ELSP,742.2
2021-07-01,ELSB,613.4
2021-08-01,ELSP,745.5
2021-08-01,ELSB,606.9
2021-09-01,ELSP,744.8
2021-09-01,ELSB,600.4
2021-10-01,ELSP,742.5
2021-10-01,ELSB,610.8
2021-11-01,ELSP,758.1
2021-11-01,ELSB,617.2
2021-12-01,ELSP,755.3
2021-12-01,ELSB,620.2
2022-01-01,ELSP,780.6
2022-01-01,ELSB,636.8
2022-02-01,ELSP,797.5
2022-02-01,ELSB,655.2
2022-03-01,ELSP,800.0
2022-03-01,ELSB,663.7
2022-04-01,ELSP,812.5
2022-04-01,ELSB,661.4
2022-05-01,ELSP,812.0
2022-05-01,ELSB,674.0
2022-06-01,ELSP,818.6
2022-06-01,ELSB,666.3
2022-07-01,ELSP,810.5
2022-07-01,ELSB,655.7
2022-08-01,ELSP,806.7
2022-08-01,ELSB,646.4
2022-09-01,ELSP,804.1
2022-09-01,ELSB,656.1
2022-10-01,ELSP,805.8
2022-10-01,ELSB,656.8
2022-11-01,ELSP,812.1
2022-11-01,ELSB,659.2
2022-12-01,ELSP,825.0
2022-12-01,ELSB,674.6
2023-01-01,ELSP,837.6
2023-01-01,ELSB,677.5
2023-02-01,ELSP,841.8
2023-02-01,ELSB,695.5
2023-03-01,ELSP,867.2
2023-03-01,ELSB,702.3
2023-04-01,ELSP,862.9
2023-04-01,ELSB,714.9
2023-05-01,ELSP,868.8
2023-05-01,ELSB,721.0
2023-06-01,ELSP,860.4
2023-06-01,ELSB,707.9
2023-07-01,ELSP,868.7
2023-07-01,ELSB,704.0
2023-08-01,ELSP,851.3
2023-08-01,ELSB,696.1
2023-09-01,ELSP,852.6
2023-09-01,ELSB,703.1
2023-10-01,ELSP,859.5
2023-10-01,ELSB,698.1
2023-11-01,ELSP,859.4
2023-11-01,ELSB,699.6
2023-12-01,ELSP,880.2
2023-12-01,ELSB,714.4
2024-01-01,ELSP,896.0
2024-01-01,ELSB,723.5
2024-02-01,ELSP,907.2
2024-02-01,ELSB,750.3
2024-03-01,ELSP,921.0
2024-03-01,ELSB,761.2
2024-04-01,ELSP,921.0
2024-04-01,ELSB,761.7
2024-05-01,ELSP,920.5
2024-05-01,ELSB,764.1
2024-06-01,ELSP,923.4
2024-06-01,ELSB,761.9
2024-07-01,ELSP,926.9
2024-07-01,ELSB,748.0
2024-08-01,ELSP,913.9
2024-08-01,ELSB,751.5
2024-09-01,ELSP,912.5
2024-09-01,ELSB,742.6
2024-10-01,ELSP,915.3
2024-10-01,ELSB,748.9
2024-11-01,ELSP,924.2
2024-11-01,ELSB,755.6
2024-12-01,ELSP,930.0
2024-12-01,ELSB,765.9
2025-01-01,ELSP,941.3
2025-01-01,ELSB,774.0
2025-02-01,ELSP,964.7
2025-02-01,ELSB,782.1
2025-03-01,ELSP,971.8
2025-03-01,ELSB,800.4
2025-04-01,ELSP,988.9
2025-04-01,ELSB,811.7
2025-05-01,ELSP,989.4
2025-05-01,ELSB,806.8
2025-06-01,ELSP,986.2
2025-06-01,ELSB,795.9
2025-07-01,ELSP,975.6
2025-07-01,ELSB,797.5
2025-08-01,ELSP,970.9
2025-08-01,ELSB,795.2
2025-09-01,ELSP,965.9
2025-09-01,ELSB,781.7
2025-10-01,ELSP,978.5
2025-10-01,ELSB,795.0
2025-11-01,ELSP,979.0
2025-11-01,ELSB,790.2
2025-12-01,ELSP,992.8
2025-12-01,ELSB,802.6
