date,orders_received_net_musd
2021-01-01,722.2
2021-02-01,735.5
2021-03-01,751.7
2021-04-01,750.0
2021-05-01,764.1
2021-06-01,752.1
2021-07-01,742.2
2021-08-01,745.5
2021-09-01,744.8
2021-10-01,742.5
2021-11-01,758.1
2021-12-01,755.3
2022-01-01,780.6
2022-02-01,797.5
2022-03-01,800.0
2022-04-01,812.5
2022-05-01,812.0
2022-06-01,818.6
2022-07-01,810.5
2022-08-01,806.7
2022-09-01,804.1
2022-10-01,805.8
2022-11-01,812.1
2022-12-01,825.0
2023-01-01,837.6
2023-02-01,841.8
2023-03-01,867.2
2023-04-01,862.9
2023-05-01,868.8
2023-06-01,860.4
2023-07-01,868.7
2023-08-01,851.3
2023-09-01,852.6
2023-10-01,859.5
2023-11-01,859.4
2023-12-01,880.2
2024-01-01,896.0
2024-02-01,907.2
2024-03-01,921.0
2024-04-01,921.0
2024-05-01,920.5
2024-06-01,923.4
2024-07-01,926.9
2024-08-01,913.9
2024-09-01,912.5
2024-10-01,915.3
2024-11-01,924.2
2024-12-01,930.0
2025-01-01,941.3
2025-02-01,964.7
2025-03-01,971.8
2025-04-01,988.9
2025-05-01,989.4
2025-06-01,986.2
2025-07-01,975.6
2025-08-01,970.9
2025-09-01,965.9
2025-10-01,978.5
2025-11-01,979.0
2025-12-01,992.8
