date,division,orders_received_net_musd
2021-01-01,ELSB,599.9
2021-01-01,ELSP,722.2
2021-02-01,ELSB,603.4
2021-02-01,ELSP,735.5
2021-03-01,ELSB,613.6
2021-03-01,ELSP,751.7
2021-04-01,ELSB,617.2
2021-04-01,ELSP,750.0
2021-05-01,ELSB,627.3
2021-05-01,ELSP,764.1
2021-06-01,ELSB,619.5
2021-06-01,ELSP,752.1
2021-07-01,ELSB,613.4
2021-07-01,ELSP,742.2
2021-08-01,ELSB,606.9
2021-08-01,ELSP,745.5
2021-09-01,ELSB,600.4
2021-09-01,ELSP,744.8
2021-10-01,ELSB,610.8
2021-10-01,ELSP,742.5
2021-11-01,ELSB,617.2
2021-11-01,ELSP,758.1
2021-12-01,ELSB,620.2
2021-12-01,ELSP,755.3
2022-01-01,ELSB,636.8
2022-01-01,ELSP,780.6
2022-02-01,ELSB,655.2
2022-02-01,ELSP,797.5
2022-03-01,ELSB,663.7
2022-03-01,ELSP,800.0
2022-04-01,ELSB,661.4
2022-04-01,ELSP,812.5
2022-05-01,ELSB,674.0
2022-05-01,ELSP,812.0
2022-06-01,ELSB,666.3
2022-06-01,ELSP,818.6
2022-07-01,ELSB,655.7
2022-07-01,ELSP,810.5
2022-08-01,ELSB,646.4
2022-08-01,ELSP,806.7
2022-09-01,ELSB,656.1
2022-09-01,ELSP,804.1
2022-10-01,ELSB,656.8
2022-10-01,ELSP,805.8
2022-11-01,ELSB,659.2
2022-11-01,ELSP,812.1
2022-12-01,ELSB,674.6
2022-12-01,ELSP,825.0
2023-01-01,ELSB,677.5
2023-01-01,ELSP,837.6
