date,orders_received_net_musd,data_center___hyperscaler
2021-01-01,722.2,4522.3
2021-02-01,735.5,4627.7
2021-03-01,751.7,4765.7
2021-04-01,750.0,4904.6
2021-05-01,764.1,5012.4
2021-06-01,752.1,5064.9
2021-07-01,742.2,5052.7
2021-08-01,745.5,4983.9
2021-09-01,744.8,4881.7
2021-10-01,742.5,4778.5
2021-11-01,758.1,4707.3
2021-12-01,755.3,4692.7
2022-01-01,780.6,4873.2
2022-02-01,797.5,4986.7
2022-03-01,800.0,5135.4
2022-04-01,812.5,5285.2
2022-05-01,812.0,5401.3
2022-06-01,818.6,5457.8
2022-07-01,810.5,5444.7
2022-08-01,806.7,5370.6
2022-09-01,804.1,5260.4
2022-10-01,805.8,5149.2
2022-11-01,812.1,5072.5
2022-12-01,825.0,5056.8
2023-01-01,837.6,5302.0
2023-02-01,841.8,5425.6
2023-03-01,867.2,5587.3
2023-04-01,862.9,5750.2
2023-05-01,868.8,5876.6
2023-06-01,860.4,5938.1
2023-07-01,868.7,5923.9
2023-08-01,851.3,5843.2
2023-09-01,852.6,5723.3
2023-10-01,859.5,5602.4
2023-11-01,859.4,5518.9
2023-12-01,880.2,5501.8
2024-01-01,896.0,7641.2
2024-02-01,907.2,7819.2
2024-03-01,921.0,8052.3
2024-04-01,921.0,8287.1
2024-05-01,920.5,8469.2
2024-06-01,923.4,8557.9
2024-07-01,926.9,8537.3
2024-08-01,913.9,8421.1
2024-09-01,912.5,8248.3
2024-10-01,915.3,8074.0
2024-11-01,924.2,7953.7
2024-12-01,930.0,7929.0
2025-01-01,941.3,11305.8
2025-02-01,964.7,11569.2
