date,copper_price
2021-01-01,118.19
2021-02-01,125.51
2021-03-01,125.16
2021-04-01,126.64
2021-05-01,128.74
2021-06-01,127.39
2021-07-01,128.88
2021-08-01,127.08
2021-09-01,126.1
2021-10-01,118.21
2021-11-01,119.01
2021-12-01,113.11
2022-01-01,113.88
2022-02-01,109.43
2022-03-01,111.64
2022-04-01,111.91
2022-05-01,113.32
2022-06-01,117.5
2022-07-01,118.58
2022-08-01,120.87
2022-09-01,124.04
2022-10-01,130.47
2022-11-01,128.01
2022-12-01,127.5
2023-01-01,129.68
2023-02-01,129.07
2023-03-01,125.83
2023-04-01,122.1
2023-05-01,119.33
2023-06-01,115.56
2023-07-01,110.26
2023-08-01,112.29
2023-09-01,107.33
2023-10-01,108.64
2023-11-01,115.26
2023-12-01,118.07
2024-01-01,121.63
2024-02-01,124.23
2024-03-01,123.95
2024-04-01,125.72
2024-05-01,129.69
2024-06-01,129.75
2024-07-01,126.42
2024-08-01,123.75
2024-09-01,122.25
2024-10-01,118.39
2024-11-01,114.01
2024-12-01,112.51
2025-01-01,109.43
2025-02-01,109.88
