date,orders_received_net_musd
2021-01-01,599.9
2021-02-01,603.4
2021-03-01,613.6
2021-04-01,617.2
2021-05-01,627.3
2021-06-01,619.5
2021-07-01,613.4
2021-08-01,606.9
2021-09-01,600.4
2021-10-01,610.8
2021-11-01,617.2
2021-12-01,620.2
2022-01-01,636.8
2022-02-01,655.2
2022-03-01,663.7
2022-04-01,661.4
2022-05-01,674.0
2022-06-01,666.3
2022-07-01,655.7
2022-08-01,646.4
2022-09-01,656.1
2022-10-01,656.8
2022-11-01,659.2
2022-12-01,674.6
2023-01-01,677.5
2023-02-01,695.5
2023-03-01,702.3
2023-04-01,714.9
2023-05-01,721.0
2023-06-01,707.9
2023-07-01,704.0
2023-08-01,696.1
2023-09-01,703.1
2023-10-01,698.1
2023-11-01,699.6
2023-12-01,714.4
2024-01-01,723.5
2024-02-01,750.3
2024-03-01,761.2
2024-04-01,761.7
2024-05-01,764.1
2024-06-01,761.9
2024-07-01,748.0
2024-08-01,751.5
2024-09-01,742.6
2024-10-01,748.9
2024-11-01,755.6
2024-12-01,765.9
2025-01-01,774.0
2025-02-01,782.1
