date,data_center___hyperscaler,orders_received_net_musd
2025-12-01,11731.7,992.8
2025-11-01,11768.2,979.0
2025-10-01,11946.2,978.5
2025-09-01,12204.2,965.9
2025-08-01,12459.7,970.9
2025-07-01,12631.8,975.6
2025-06-01,12662.1,986.2
2025-05-01,12530.9,989.4
2025-04-01,12261.6,988.9
2025-03-01,11914.2,971.8
2025-02-01,11569.2,964.7
2025-01-01,11305.8,941.3
2024-12-01,7929.0,930.0
2024-11-01,7953.7,924.2
2024-10-01,8074.0,915.3
2024-09-01,8248.3,912.5
2024-08-01,8421.1,913.9
2024-07-01,8537.3,926.9
2024-06-01,8557.9,923.4
2024-05-01,8469.2,920.5
2024-04-01,8287.1,921.0
2024-03-01,8052.3,921.0
2024-02-01,7819.2,907.2
2024-01-01,7641.2,896.0
