date,orders_received_net_musd,china_iip
2021-01-01,722.2,124.55
2021-02-01,735.5,122.96
2021-03-01,751.7,120.69
2021-04-01,750.0,118.22
2021-05-01,764.1,116.11
2021-06-01,752.1,115.26
2021-07-01,742.2,115.58
2021-08-01,745.5,118.04
2021-09-01,744.8,120.01
2021-10-01,742.5,122.51
2021-11-01,758.1,124.37
2021-12-01,755.3,125.47
2022-01-01,780.6,125.44
2022-02-01,797.5,123.52
2022-03-01,800.0,122.51
2022-04-01,812.5,118.45
2022-05-01,812.0,116.9
2022-06-01,818.6,116.92
2022-07-01,810.5,117.49
2022-08-01,806.7,118.85
2022-09-01,804.1,122.27
2022-10-01,805.8,124.51
2022-11-01,812.1,126.79
2022-12-01,825.0,125.97
2023-01-01,837.6,126.71
2023-02-01,841.8,124.36
2023-03-01,867.2,122.49
2023-04-01,862.9,118.54
2023-05-01,868.8,116.87
2023-06-01,860.4,117.91
2023-07-01,868.7,116.36
2023-08-01,851.3,121.37
2023-09-01,852.6,121.09
2023-10-01,859.5,125.5
2023-11-01,859.4,129.17
2023-12-01,880.2,129.17
2024-01-01,896.0,128.5
2024-02-01,907.2,127.59
2024-03-01,921.0,122.56
2024-04-01,921.0,123.16
2024-05-01,920.5,120.32
2024-06-01,923.4,119.9
2024-07-01,926.9,121.61
2024-08-01,913.9,120.2
2024-09-01,912.5,122.94
2024-10-01,915.3,125.62
2024-11-01,924.2,128.87
2024-12-01,930.0,126.41
2025-01-01,941.3,128.44
2025-02-01,964.7,129.9
